objid,ra,dec,u,g,r,i,z,class
1237661949725507875,203.274855512505,11.7476692437729,19.32485,18.76398,18.01768,17.63493,17.46885,QSO
1237661949731012736,215.984635907793,10.5849624528204,18.99883,18.66154,18.24283,17.93167,17.79654,QSO
1237660345011470424,147.867024829878,42.0600696233336,18.07478,17.96883,17.61617,17.2517,17.09388,QSO
1237661949740056827,236.794429916189,7.76937068681485,17.59863,17.54861,17.34177,17.23032,16.88045,QSO
1237660412645998711,128.972764055724,5.8880900054795,17.21635,17.12035,16.92383,16.65623,16.67686,QSO
1237661949742743917,242.779287306249,6.66856091951011,19.48628,19.12273,18.62557,18.26346,18.18504,QSO
1237661950246584424,166.372793745281,12.1646033583682,18.93275,18.53191,18.09097,17.75947,17.65521,QSO
1237661950796824618,197.618218472469,12.9254919897045,18.86713,18.66488,18.2333,17.96486,17.84729,QSO
1237661950797283394,198.654867376901,12.8057729043328,19.56219,19.29796,18.62692,18.19495,17.89503,QSO
1237661950798594086,201.730897055732,12.7829523404253,18.1888,17.93964,17.46827,17.05607,16.94251,QSO
1237661950798725291,202.119156130941,12.7197904361095,19.24594,18.79396,18.29973,17.85606,17.80782,QSO
1237660583367475385,145.224722343566,7.25583560303619,19.42892,19.16933,18.64492,18.51869,18.07175,QSO
1237660583909326913,156.669163332512,8.62448294462689,18.6351,18.1878,17.67356,17.23757,17.1447,QSO
1237660584979071187,147.431940374207,8.60699041892224,19.57859,19.00684,18.33862,17.9336,17.74048,QSO
1237660613972394078,166.909492685715,9.48209400106917,19.00444,18.57444,17.92547,17.51545,17.43351,QSO
1237660614512148534,173.697281656685,10.1268052336705,18.3107,18.06472,17.70477,17.53515,17.24048,QSO
1237661957763235921,218.905769795786,46.4093678226516,19.1575,18.95627,18.56506,18.2091,18.12435,QSO
1237660614514507778,179.051306964572,10.2910328441022,18.80848,18.70127,18.38877,18.02149,17.85709,QSO
1237660635453980776,144.089630681098,39.3588960888015,19.34124,18.63429,17.82542,17.40401,17.40785,QSO
1237661965813743738,167.712070218994,40.0719515825965,19.33941,18.35011,17.63274,17.16929,16.96965,QSO
1237661966350614591,167.63619839648,40.436417447482,18.74317,18.36775,17.86172,17.56248,17.19862,QSO
1237661966355595378,182.635733803483,41.6749691806215,19.14174,18.74858,18.31285,17.93665,17.8804,QSO
1237660636526411809,140.31719743078,38.5937911433268,18.13751,17.54197,16.94623,16.46407,16.39588,QSO
1237660636526805130,141.277918981198,39.1189050193029,18.84281,18.58277,18.03779,17.74879,17.60165,QSO
1237660636538732680,177.234517866151,48.0558279142601,18.53452,18.06792,17.39752,17.00506,16.80606,QSO
1237661966890041414,175.166111335726,41.7627559452005,18.039,18.0805,17.97313,17.65892,17.70682,QSO
1237660637055942965,123.659500499542,29.1055356481446,19.13562,18.57654,17.75688,17.33627,17.16592,QSO
1237661966890565685,176.695477279234,41.8378860034004,19.52048,19.04061,18.48787,18.1226,17.95253,QSO
1237660637074620505,173.805099306448,48.0902821132847,19.0939,18.77967,18.14605,17.69985,17.48554,QSO
1237660669806903505,129.888568188327,6.85545163423874,18.96988,18.57899,18.23009,17.72782,17.71105,QSO
1237661967427895498,178.134245914303,42.4666197238912,19.41999,18.38947,17.40343,17.11244,16.77591,QSO
1237661967972368463,201.537883506639,41.7817347815324,19.52207,18.93245,17.88609,17.34573,17.08383,QSO
1237661968496918545,163.538251558255,41.4743420288228,18.99145,18.51928,17.96967,17.6828,17.57587,QSO
1237661968502095879,179.365020371463,43.3017582787043,18.17369,18.0642,17.58746,17.25172,17.27581,QSO
1237661968502751286,181.448724401811,43.424395117797,19.42459,19.26818,18.83412,18.42947,18.39406,QSO
1237661970103861525,166.768737342656,5.88852951055829,19.30057,18.84465,18.23633,17.73913,17.62117,QSO
1237661970103861539,166.789216128913,5.90694411218978,18.13071,17.50577,16.98004,16.56889,16.45917,QSO
1237661970643222593,172.497509844853,6.49802219447867,17.53285,17.41954,17.24518,17.05039,16.99044,QSO
1237660669807165700,130.444419617616,6.96213035491881,19.5791,19.35902,18.9236,18.50256,18.54136,QSO
1237660669812998230,143.686349864977,9.06466099210183,18.27285,17.92876,17.43278,17.09882,17.03566,QSO
1237660669816078342,150.758965084403,9.97578361776652,17.81918,17.77121,17.53682,17.37181,17.14112,QSO
1237660670343119163,128.228274166321,7.03237595296899,19.4492,19.25438,18.73173,18.55111,17.9923,QSO
1237660670345216188,133.04637861429,7.85577256336464,18.707,18.32806,17.89462,17.54365,17.39485,QSO
1237660764298150176,124.686865692979,25.9730253731643,19.17045,19.00506,18.86495,18.75352,18.41068,QSO
1237660764302082178,132.841886495737,31.2196369242167,18.64372,18.09269,17.53911,17.19162,16.96482,QSO
1237660764835414130,125.247000835053,26.755890263343,18.3199,18.0904,17.75242,17.41237,17.38837,QSO
1237660764836921363,128.195507332752,28.886672374614,18.55398,18.39822,17.74026,17.28772,17.30283,QSO
1237661948655763633,212.4420631692,10.2296689741135,18.88165,17.89203,17.14754,16.72136,16.43317,QSO
